item_id,item_name,item_description,delivery_price,instore_price,tax_rate,allergens,calories,hfss,max_quantity,age_restricted,plu,barcodes,ian,classifications,replacement_eligible,substitution_eligible,internal_name,dietary_information,returnable,irish_drs_deposit_fee,irish_drs_items_per_pack
bcd06e92-95fc-40ec-aadb-822f7f05883d,Chambord Black Raspberry Liqueur,Arp.,29,,0,,,false,,true,,,,,true,true,Chambord Black Raspberry Liqueur,,,,
2d545129-0f61-43b0-bfc4-9d8bd752cfd3,Chivas Regal 12 Year Old Blended Scotch Whisky,Arp.,49.95,,0,,,false,,true,,,,,true,true,Chivas Regal 12 Year Old Blended Scotch Whisky,,,,
488714af-1b0e-4934-b9d2-b9102564ae2a,Chivas Regal 18 Year Old Blended Scotch Whisky,Arp.,99,,0,,,false,,true,,,,,true,true,Chivas Regal 18 Year Old Blended Scotch Whisky,,,,
32d7eb9c-11cf-4a90-89c5-5e03cae41181,Chouffe Gift Box,Arp.,24.99,,0,,,false,,true,,,,,true,true,Chouffe Gift Box,,,,
123ccc82-1733-4deb-911c-e37d3f4e4bad,Château Lilian Ladouys Saint-estèphe 2019,Arp.,42.5,,0,,,false,,false,,,,,true,true,Château Lilian Ladouys Saint-estèphe 2019,,,,
a2c7b186-8e61-4864-a14f-b2ee1d961299,Château Tour De Perrigal Bordeaux Supérieur 2021,Arp.,25.99,,0,,,false,,false,,,,,true,true,Château Tour De Perrigal Bordeaux Supérieur 2021,,,,
10f522e2-1e69-4c41-b793-5c7d5ba003c8,Clonakilty Galley Head Irish Whiskey,Arp.,43,,0,,,false,,true,,,,,true,true,Clonakilty Galley Head Irish Whiskey,,,,
eb402520-62b8-4b54-823a-128bd5140d4f,Cloudy Bay Chardonnay 2022,Arp.,52.95,,0,,,false,,false,,,,,true,true,Cloudy Bay Chardonnay 2022,,,,
0b5a75da-e235-4f44-8d46-4917814de491,Cloudy Bay Pinot Noir 2022,Arp.,55,,0,,,false,,false,,,,,true,true,Cloudy Bay Pinot Noir 2022,,,,
295d608b-6f14-48dd-9e18-5bbda78fd8f3,Cloudy Bay Sauvignon Blanc 2024,Arp.,42,,0,,,false,,false,,,,,true,true,Cloudy Bay Sauvignon Blanc 2024,,,,
c46fb662-14eb-4f94-90c1-c3dd2d2559be,Conde Valdemar Rioja Crianza Reserva 2017,Arp.,27.95,,0,,,false,,false,,,,,true,true,Conde Valdemar Rioja Crianza Reserva 2017,,,,
8594458e-a159-415b-856b-30827cd8b03b,Connemara Peated Single Malt Irish Whiskey,Arp.,45.5,,0,,,false,,true,,,,,true,true,Connemara Peated Single Malt Irish Whiskey,,,,
e125726a-50e0-4918-a43b-3c47cc9eca6d,Corazón De L***** Premium Coupage,Arp.,19.95,,0,,,false,,false,,,,,true,true,Corazón De L***** Premium Coupage,,,,
9336e647-4a01-4891-8417-0fd60cdacf3e,Corralejo Reposado Tequila,Arp.,60,,0,,,false,,true,,,,,true,true,Corralejo Reposado Tequila,,,,
d7b23f5e-530e-4aa0-8017-f2a224af005a,Corte Delle Calli Rosé Spumante,Arp.,22.95,,0,,,false,,false,,,,,true,true,Corte Delle Calli Rosé Spumante,,,,
0331fc58-15b4-4e49-96de-c21b1bc6b14e,Crozes-hermitage Delas 2022,Arp.,27.95,,0,,,false,,false,,,,,true,true,Crozes-hermitage Delas 2022,,,,
b6d925d7-59cb-4699-ac78-3c446e933c88,Daura Damm Gluten-free 4-Pack,Arp.,11.95,,0,,,false,,true,,,,,true,true,Daura Damm Gluten-free 4-Pack,,,,
96114898-c6a6-4c55-a8be-9c6ed6e084c1,Desperados Beer,Arp.,3.5,,0,,,false,,true,,,,,true,true,Desperados Beer,,,,
3fbe5c8f-84c7-4a73-bfe1-8b3d19a684ee,Desperados Beer 6*330Ml,Arp.,15.5,,0,,,false,,true,,,,,true,true,Desperados Beer 6*330Ml,,,,
ea973033-f67f-4d39-815e-87e1e4253b8a,Dingle Original Gin,Arp.,39.5,,0,,,false,,true,,,,,true,true,Dingle Original Gin,,,,
32e43b3c-e07a-435b-a5c8-3049317b0f8d,Diplomatico Mantuano Rum,Arp.,49,,0,,,false,,true,,,,,true,true,Diplomatico Mantuano Rum,,,,
00b38b75-4df2-41fe-8146-a28eb5ae30a6,Diplomatico Reserva Exclusiva Rum,Arp.,60,,0,,,false,,true,,,,,true,true,Diplomatico Reserva Exclusiva Rum,,,,
1ce967a9-0c7d-4dda-8a4c-eef3d7d337fa,Disaronno Originale Amaretto Liqueur,Arp.,34.5,,0,,,false,,true,,,,,true,true,Disaronno Originale Amaretto Liqueur,,,,
9a11d265-faba-4fd5-9857-1248799e3ed8,Dom Pérignon Vintage 2013,Arp.,295,,0,,,false,,false,,,,,true,true,Dom Pérignon Vintage 2013,,,,
dba9d089-cc15-4574-bea5-66f7d20eedae,"Domaine Gueneau Sancerre ""La Guiberte"" 2024",Arp.,30.95,,0,,,false,,false,,,,,true,true,"Domaine Gueneau Sancerre ""La Guiberte"" 2024",,,,
de249aa3-62f9-44d4-94fe-5ece8d9cd2e7,Drumshanbo Gunpowder Irish Gin,Arp.,47,,0,,,false,,true,,,,,true,true,Drumshanbo Gunpowder Irish Gin,,,,
fac3c444-4fdf-43b7-b5b2-cdd0f322ed63,Drumshanbo Single Pot Still Irish Whiskey,Arp.,60,,0,,,false,,true,,,,,true,true,Drumshanbo Single Pot Still Irish Whiskey,,,,
6cabd9fd-2909-4e01-bb61-e69f530f3f6c,Duppy Share Spiced Rum,Arp.,44.5,,0,,,false,,true,,,,,true,true,Duppy Share Spiced Rum,,,,
6f2e4ab0-c7f1-41f9-ab8e-297120846af2,Duvel Discovery Box,ARP.,10.5,,0,,,false,,true,,,,,true,true,Duvel Discovery Box,,,,
aece847c-b1c0-4b63-baba-88cb9bf964e0,Einsiedler Hell,Arp.,3.85,,0,,,false,,true,,,,,true,true,Einsiedler Hell,,,,
c5802f57-4060-4b6f-957f-5de429f9f710,Einsiedler Weissbier,Arp.,3.8,,0,,,false,,true,,,,,true,true,Einsiedler Weissbier,,,,
170d7033-e6a1-48ca-b8b0-d210c859da41,El Jimador Tequila Blanco,Arp.,42,,0,,,false,,true,,,,,true,true,El Jimador Tequila Blanco,,,,
0a9efed8-8e15-4b47-b366-f009792bba92,Erdinger Beer,Arp.,3.95,,0,,,false,,true,,,,,true,true,Erdinger Beer,,,,
2b26e6d2-9e44-415b-82da-3826c2fafe3b,Esporão Reserva Tinto Organic 2022,Arp.,29.95,,0,,,false,,false,,,,,true,true,Esporão Reserva Tinto Organic 2022,,,,
af42367b-da83-4c29-9ac9-71c80139f4f4,Faustino V Reserva,Arp.,18.95,,0,,,false,,false,,,,,true,true,Faustino V Reserva,,,,
